n_points;algorithm;runs;median_distance;median_runtime_s; median_gap_to_best_pct 
10;classic_cpu;100;3,15E+15;1,40E-04;5,77E-02
10;classic_gpu;100;3,14E+16;7,47E-03;1,49E+11
10;ml_cpu;25;3,10E+15;4,93E-02;0,00E+00
10;ml_gpu;25;3,21E+15;4,48E-01;6,83E+15
20;classic_cpu;100;4,04E+16;5,82E-04;1,48E+16
20;classic_gpu;100;3,97E+16;1,28E-02;1,15E+16
20;ml_cpu;25;4,64E+14;1,19E-01;2,06E+15
20;ml_gpu;25;5,14E+11;8,16E-01;3,41E+15
30;classic_cpu;100;4,86E+15;1,42E-03;4,29E+15
30;classic_gpu;100;4,75E+15;1,70E-02;2,18E+15
30;ml_cpu;25;7,12E+13;2,14E-01;6,23E+15
30;ml_gpu;25;6,75E+14;1,21E+16;5,11E+16
40;classic_cpu;100;5,42E+15;3,11E-03;3,88E+16
40;classic_gpu;100;5,33E+15;2,34E-02;2,28E+16
40;ml_cpu;25;9,86E+12;3,34E-01;8,86E+15
40;ml_gpu;25;8,36E+13;1,61E+16;6,19E+15
50;classic_cpu;100;6,06E+15;5,63E-03;6,12E+15
50;classic_gpu;100;5,86E+15;2,90E-02;3,63E+16
50;ml_cpu;25;1,26E+13;4,66E-01;1,26E+16
50;ml_gpu;25;9,56E+13;1,99E+16;7,54E+15
100;classic_cpu;5;8,65E+15;2,75E-02;1,87E+16
100;classic_gpu;5;8,43E+15;7,61E-02;0,00E+00
100;ml_cpu;25;2,42E+13;1,56E+16;1,91E+16
100;ml_gpu;25;1,81E+11;3,91E+16;1,18E+16
500;classic_cpu;5;1,80E+16;3,56E+16;8,73E-01
500;classic_gpu;5;1,77E+16;3,07E+15;0,00E+00
500;ml_cpu;25;1,10E+11;3,20E+15;5,21E+15
500;ml_gpu;25;1,06E+11;1,95E+16;4,99E+15
